brain_area,implant_number,rat,probe_serial,age,n_prev_use,mm_inserted,n_elec,shank_plane_angle,AP,ML,DV
dmFC,1,T176,619040938,493,0,4.2,170,0,4,0.8,-1.1
dmFC,12,T212,17131312432,459,0,4.2,174,0,4,0.8,-1
dmFC,17,T224,17131312432,520,1,4.2,174,0,4,0.8,-1
dmFC,21,T249,17131312432,338,2,4.2,186,0,4,1,-1.1
vmFC,1,T176,619040938,493,0,4.2,213,0,4,0.5,-3
vmFC,12,T212,17131312432,459,0,4.2,209,0,4,0.5,-2.9
vmFC,17,T224,17131312432,520,1,4.2,209,0,4,0.5,-2.9
vmFC,21,T249,17131312432,338,2,4.2,197,0,4,0.7,-3
MCtx,2,T181,17131306102,238,0,8.2,214,90,1.9,1.7,-1.4
MCtx,3,T182,17131311881,244,0,8.2,214,90,1.9,1.7,-1.4
MCtx,14,A241,18194823631,372,0,10,39,90,0.7,2.2,-2.3
MCtx,16,A243,18194824132,374,0,9,138,90,0.7,2.5,-1.8
MCtx,18,T219,18194824092,523,0,8,241,0,1.3,2.4,-1.3
MCtx,19,T223,19051017162,528,0,7.9,241,0,1.3,2.4,-1.2
MCtx,22,T227,18194819542,557,0,8.4,241,0,1.4,2.4,-1.7
dmStr,2,T181,17131306102,238,0,8.2,198,90,1.9,2.3,-3.8
dmStr,3,T182,17131311881,244,0,8.2,236,90,1.9,2.3,-3.7
dmStr,8,K265,17131311562,656,0,7,234,0,1.9,2.2,-3.9
dmStr,14,A241,18194823631,372,0,10,279,90,0.7,2.3,-3.9
dmStr,16,A243,18194824132,374,0,9,197,90,0.7,2.4,-4
dmStr,18,T219,18194824092,523,0,8,270,0,2,2.4,-3.8
dmStr,19,T223,19051017162,528,0,7.9,270,0,2,2.4,-3.7
dmStr,20,A249,18194819132,393,0,6.8,256,0,1.8,2.1,-4
dmStr,22,T227,18194819542,557,0,8.4,270,0,2.1,2.4,-4.2
vmStr,2,T181,17131306102,238,0,8.2,191,90,1.9,2.9,-5.9
vmStr,3,T182,17131311881,244,0,8.2,176,90,1.9,2.9,-5.9
vmStr,8,K265,17131311562,656,0,7,149,0,1.9,2.9,-5.7
vmStr,14,A241,18194823631,372,0,10,259,90,0.7,2.4,-6.6
vmStr,16,A243,18194824132,374,0,9,259,90,0.7,2.4,-6.6
vmStr,18,T219,18194824092,523,0,8,255,0,2.7,2.4,-6.3
vmStr,19,T223,19051017162,528,0,7.9,255,0,2.7,2.4,-6.2
vmStr,20,A249,18194819132,393,0,6.8,127,0,1.7,2.1,-5.9
vmStr,22,T227,18194819542,557,0,8.4,255,0,2.8,2.4,-6.7
piriform,2,T181,17131306102,238,0,8.2,115,90,1.9,3.2,-7.2
piriform,3,T182,17131311881,244,0,8.2,106,90,1.9,3.2,-7.2
piriform,14,A241,18194823631,372,0,10,139,90,0.7,2.5,-9.1
piriform,16,A243,18194824132,374,0,9,40,90,0.7,2.4,-8.6
S1,7,A242,17131311621,258,0,7.6,353,90,-2.3,5.1,-1.8
S1,10,A230,17131308571,420,0,6.6,5,90,0.8,3.9,-2.6
S1,13,A241,18194823302,372,0,10,49,90,-0.6,3.9,-2.4
lStr,10,A230,17131308571,420,0,6.6,378,90,0.8,3.8,-4.5
lStr,13,A241,18194823302,372,0,10,449,90,-0.6,3.8,-4.9
pallidum,14,A241,18194823631,372,0,10,50,90,0.7,2.4,-8.2
pallidum,16,A243,18194824132,374,0,9,50,90,0.7,2.5,-8.1
amygdala,7,A242,17131311621,258,0,7.6,70,90,-2.4,5.6,-7
amygdala,13,A241,18194823302,372,0,10,208,90,-0.6,3.7,-8.7
striatum tail,7,A242,17131311621,258,0,7.6,209,90,-2.3,5.4,-5.1
dpCtx,4,T179,17131311342,505,0,5.8,109,0,-7,3,-0.9
postsubiculum,4,T179,17131311342,505,0,5.8,112,0,-7,3,-2.4
SC,5,T196,17131312042,410,0,8,239,0,-7.2,1.6,-4
SC,6,T209,17131311352,370,0,7.8,190,0,-7.4,1.4,-3.6
nIC,4,T179,17131311342,505,0,5.8,259,0,-7,3,-4.3
nIC,5,T196,17131312042,410,0,8,144,0,-7.2,2.9,-5.4
nIC,6,T209,17131311352,370,0,7.8,193,0,-7.4,2.7,-5.1
